Seeds,Spike_based_r,Spike_based_g,Spike_based_b,Ca_based_60_r,Ca_based_60_g,Ca_based_60_b,Ca_based_15_r,Ca_based_15_g,Ca_based_15_b,Ca_based_0_r,Ca_based_0_g,Ca_based_0_b,Full_based_60_r,Full_based_60_g,Full_based_60_b,Full_based_15_r,Full_based_15_g,Full_based_15_b,Full_based_0_r,Full_based_0_g,Full_based_0_b
90,-Inf,-Inf,26.3955886335364,-31.480625354554377,-31.480625354554377,7.359535705891888,-24.60897842756548,-Inf,-10.6295783408451,-23.326628435330502,-Inf,-11.285428608771253,-Inf,-Inf,10.08974877872057,-25.105450102066126,-Inf,-11.571577909568788,-16.12359947967774,-Inf,-12.041199826559247
424,9.367451616507367,9.392664666542242,-15.343117321643614,-14.807253789884879,-Inf,8.999380173520953,-30.370278797557752,-Inf,-14.80725378988488,-28.62727528317975,-Inf,-13.064250275506875,-25.343434568060275,-Inf,22.422142701132508,-10.282096419456646,-Inf,-12.97606789740577,-6.680605115338131,-Inf,-14.193877394555836
465,-Inf,-28.464917478736155,14.762442565963344,-22.00741090235126,19.51811420573309,-Inf,-15.066553333172228,-13.727617540559967,-Inf,-14.440706168094245,-14.440706168094247,-Inf,-23.045766887661124,18.581179268421522,-37.025166974381506,5.059371003874834,-6.79896123388702,-28.382586154839515,2.889845459679573,-8.673111218771446,-28.073846751222582
174,-Inf,-Inf,-30.881360887005517,6.788913934168603,6.903053416796548,-26.699122322737033,-16.213609504211274,10.995734166105706,-18.907580982160393,-10.963692210902154,2.6611325366095877,-5.237557434036657,5.71580058214488,5.21411372307564,-28.088121018425394,-12.543414238219873,12.607871799437945,-16.708933086761522,6.854819237570421,4.238593685687774,-12.326008608851453
6,-36.776981814745106,-36.776981814745106,-Inf,-Inf,-27.482741879988257,16.173157027015503,-Inf,-24.261496506177025,-2.677871585224529,-Inf,-23.712731539238234,-6.02059991327962,-Inf,-19.35630633257198,17.703743779610683,-Inf,-7.585155914085666,10.86771455326678,-Inf,-1.2429581349768926,3.5218251811136234
48,10.930853269562615,10.246571258940582,-Inf,-16.901960800285142,-Inf,-Inf,-16.901960800285135,-22.92256071356476,-Inf,-16.25826713285711,-22.278867046136735,-Inf,18.455991520076676,-16.90196080028514,-Inf,-14.40318606811914,-9.54242509439325,-32.46498580795801,-12.510821743549707,-8.073846751222579,-31.595671932336206
132,19.85990196862683,-15.917600346881507,-21.93820026016113,-19.780092313970737,23.68363305427474,-22.278867046136735,-23.617802838749004,-15.098428193303379,-Inf,-24.29687696095396,-14.75445186656071,-Inf,-33.25515663363148,23.395021620493246,-23.712731539238234,-20.958471046343654,-9.673042437572402,-24.48029622745728,-20.668475109739003,-12.36900815032264,-34.647875196459374
300,-27.043650362227247,19.92244689873597,-19.084850188786493,-27.604224834232124,23.92260216988373,-Inf,-14.963760540124005,-6.229908586842921,-Inf,-15.44154205342901,-7.777207016402387,-Inf,-27.78332168729065,23.880653792081816,-Inf,-37.38463439461953,17.687026783238604,-37.38463439461953,-12.910513702181053,11.590227939905995,-28.94316062684438
383,-8.049752728455164,18.285099688999736,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-31.126050015345747,-Inf,-Inf,-Inf,-Inf,-Inf,-28.62727528317975,-Inf,-33.44195715871435,-33.44195715871435
342,-Inf,-19.780092313970734,20.154517994732323,-5.043628562523283,16.737930541876995,-32.46498580795801,-19.0040506327517,-15.012603534647615,-18.30880850756746,-19.462557071993977,-17.183690025857242,-16.539996358429217,9.436498298194282,14.677071491640227,-Inf,-12.594628358516413,0.15937859342550748,-22.606675369900124,-11.973074852721012,-10.034874592559884,-15.631688524440747
258,-27.234556720351858,27.852409993868527,-27.234556720351858,-32.567778601006225,-38.58837851428585,-Inf,-26.848453616444125,-36.39087871083737,-Inf,-24.777641778302737,-34.32006687269598,-Inf,-32.999670872902904,-42.542095967296156,-Inf,-27.139628019862627,-39.18082784642188,-Inf,-24.98396714782226,-37.025166974381506,-31.00456706110188
217,-27.482741879988254,-Inf,14.052493558495986,-24.860760973725892,-40.423785981398765,11.05683937315561,-13.784203340937252,-18.889653443003375,-5.634496809371892,-13.533872192497329,-17.616271845615827,-6.986693504770724,-26.02059991327962,-41.583624920952495,10.650841239194339,-17.146649928625376,-28.627275283179753,6.02059991327962,-15.94073189088035,-19.462557071993977,1.5218033814096554
425,-31.12605001534574,-Inf,-31.12605001534574,-33.533872192497334,-Inf,-39.55447210577696,-26.128500551013744,-Inf,-28.627275283179742,-24.48029622745728,-Inf,-26.979070959623282,-36.39087871083737,-Inf,-24.34967888427812,-14.629984583258773,-Inf,-30.19300959093165,-15.13923902627411,-38.06179973983887,-21.159838939553733
91,13.209260148305638,-Inf,13.492213169531482,-3.296204972919845,-25.57507201905658,22.348914922858146,-8.382586154839514,-26.444385894678387,-1.3389357926122634,-7.707017627280344,-24.60897842756548,-1.6864177140007173,10.753812491703197,-33.80392160057027,-33.80392160057027,-6.517071587780265,-11.126050015345747,4.580546684869596,-2.0291528151755416,-27.60422483423212,1.0230504489476258
175,-Inf,-Inf,-20.42378598139876,-34.96376054012401,-25.42133544573076,-25.42133544573076,-Inf,-20.827853703164504,-26.84845361644413,-Inf,-22.053246837942954,-31.595671932336202,-Inf,-24.735781988185856,-0.2554857607285748,-28.62727528317975,-25.105450102066122,-20.668475109738992,-33.624824747511745,-15.56302500767287,-15.56302500767287
466,1.3776257881562577,-Inf,8.884800566500138,-18.06179973983887,-21.5836249209525,14.916237523778275,-22.92256071356476,-26.444385894678387,-16.901960800285135,-24.98396714782226,-24.98396714782226,-17.02516697438151,14.279341084752929,-27.842209300226276,14.525290041891953,-24.777641778302733,-26.361266699255232,-8.51937464544562,-23.712731539238227,-27.234556720351854,-13.70068452785452
7,-Inf,15.066553333172232,-26.444385894678383,-6.9898675920116204,-32.09531769407774,-2.9225607135647547,-26.78240090544241,-19.42286519955052,-23.26057572432879,-28.299466959416364,-17.41810607241085,-23.438705985690476,-41.43764014612251,-22.352789957336014,3.763787613578986,-32.96720021961863,-14.905400479779761,-21.486574865064256,-32.934607724948464,-16.901960800285135,-18.95520763822809
49,-30.237667219577492,-7.010307174877991,12.369008150322628,-Inf,-20.884073249841073,-34.264208869012585,-Inf,-20.728585312533497,-21.88842425208723,-Inf,-21.5836249209525,-19.0848501887865,-Inf,-7.89868997064625,-34.647875196459374,-Inf,-19.589566657107966,-19.589566657107966,-Inf,-18.634703368829474,-17.87893215104148
